timestamp,device_id,device_name,fault_type,severity,H2,CH4,C2H6,C2H4,C2H2,CO,CO2,load_percent,ambient_temp,oil_temp,hotspot_temp,device_age,current_dp,aging_rate,remaining_life_years
2025-05-18T13:19:16.620746,T001,1号主变,normal,0,93.8,17.9,26.8,19.5,2.6,224.2,2260.5,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-19T13:19:16.620746,T001,1号主变,normal,0,78.2,18.0,23.1,19.3,2.4,250.9,2576.7,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-20T13:19:16.620746,T001,1号主变,normal,0,57.6,32.3,5.7,31.8,2.3,263.7,2833.0,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-21T13:19:16.620746,T001,1号主变,normal,0,77.7,17.1,12.0,27.7,0.3,367.1,4754.4,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-22T13:19:16.620746,T001,1号主变,normal,0,60.6,24.4,14.5,13.5,2.9,262.6,3794.8,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-23T13:19:16.620746,T001,1号主变,normal,0,77.8,36.1,9.9,28.1,0.4,357.3,3501.9,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-24T13:19:16.620746,T001,1号主变,normal,0,98.6,18.7,8.5,32.0,0.0,451.6,3500.8,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-25T13:19:16.620746,T001,1号主变,normal,0,92.2,31.4,29.1,12.2,2.0,398.2,3961.1,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-26T13:19:16.620746,T001,1号主变,normal,0,88.2,11.0,9.8,31.0,1.6,285.3,3126.0,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-27T13:19:16.620746,T001,1号主变,normal,0,97.8,27.7,19.7,29.1,1.9,338.1,3684.3,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-28T13:19:16.620746,T001,1号主变,normal,0,120.0,33.0,19.3,10.2,0.4,474.5,2662.5,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-29T13:19:16.620746,T001,1号主变,normal,0,84.7,11.8,8.6,30.6,2.0,300.5,4682.1,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-30T13:19:16.620746,T001,1号主变,normal,0,73.2,21.0,19.1,12.2,2.1,256.7,4467.3,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-31T13:19:16.620746,T001,1号主变,normal,0,100.1,33.8,12.7,46.4,1.3,477.6,2412.0,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-01T13:19:16.620746,T001,1号主变,normal,0,56.2,35.0,24.9,30.1,1.9,323.3,3590.1,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-02T13:19:16.620746,T001,1号主变,normal,0,76.6,19.4,19.7,47.7,3.0,441.5,3674.2,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-03T13:19:16.620746,T001,1号主变,normal,0,109.1,26.4,12.4,24.5,2.1,267.3,5432.6,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-04T13:19:16.620746,T001,1号主变,normal,0,71.8,29.3,16.1,9.8,0.3,299.4,3463.9,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-05T13:19:16.620746,T001,1号主变,normal,0,69.0,11.8,11.6,52.0,2.8,512.4,3452.5,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-06T13:19:16.620746,T001,1号主变,normal,0,116.8,31.1,6.2,16.9,2.4,348.4,2227.8,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-07T13:19:16.620746,T001,1号主变,normal,0,50.0,28.9,10.1,11.4,2.5,446.3,4094.7,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-08T13:19:16.620746,T001,1号主变,normal,0,93.7,23.6,19.8,43.0,2.0,318.1,2598.9,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-09T13:19:16.620746,T001,1号主变,normal,0,65.2,31.6,11.5,24.0,2.1,312.9,2376.0,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-10T13:19:16.620746,T001,1号主变,normal,0,64.1,41.1,23.3,22.9,2.1,464.0,4413.8,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-11T13:19:16.620746,T001,1号主变,normal,0,95.3,12.1,8.8,21.4,0.6,242.8,3899.9,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-12T13:19:16.620746,T001,1号主变,normal,0,85.6,21.0,16.7,39.3,2.4,340.5,3980.8,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-13T13:19:16.620746,T001,1号主变,normal,0,113.1,16.9,18.8,38.4,2.2,308.4,2420.2,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-14T13:19:16.620746,T001,1号主变,normal,0,58.5,26.9,14.7,11.8,2.0,199.2,3093.0,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-15T13:19:16.620746,T001,1号主变,normal,0,61.7,19.1,8.7,42.0,1.7,341.2,2687.8,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-16T13:19:16.620746,T001,1号主变,normal,0,76.3,20.8,28.4,46.1,1.3,476.5,2090.8,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-17T13:19:16.620746,T001,1号主变,normal,0,123.4,42.4,10.9,37.1,1.1,472.4,4556.6,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-18T13:19:16.620746,T001,1号主变,normal,0,76.6,9.3,26.0,12.5,0.6,283.5,4422.9,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-19T13:19:16.620746,T001,1号主变,normal,0,80.8,25.0,24.3,39.2,2.2,211.8,3974.8,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-20T13:19:16.620746,T001,1号主变,normal,0,120.1,31.4,13.6,31.0,1.7,403.0,3007.9,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-06-21T13:19:16.620746,T001,1号主变,normal,0,97.4,38.5,7.9,18.2,1.1,313.6,3363.5,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-22T13:19:16.620746,T001,1号主变,normal,0,74.5,15.1,16.5,41.0,2.3,341.1,2298.3,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-23T13:19:16.620746,T001,1号主变,normal,0,76.2,26.8,15.9,21.1,1.9,436.3,3102.0,40,20,28.8,34.1,10,900.5,0.027,16500.7
2025-06-24T13:19:16.620746,T001,1号主变,normal,0,119.4,12.5,16.4,41.0,0.0,392.3,3625.9,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-06-25T13:19:16.620746,T001,1号主变,normal,0,79.9,12.0,15.0,33.1,1.3,389.1,2685.9,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-06-26T13:19:16.620746,T001,1号主变,normal,0,49.4,29.6,12.6,37.6,0.2,429.1,3144.9,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-06-27T13:19:16.620746,T001,1号主变,normal,0,93.2,37.1,23.4,25.9,1.0,506.6,4536.4,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-06-28T13:19:16.620746,T001,1号主变,normal,0,60.3,32.0,6.1,20.9,2.8,304.7,2451.8,40,20,28.8,34.1,10,900.5,0.027,16500.7
2025-06-29T13:19:16.620746,T001,1号主变,normal,0,93.8,35.1,6.3,20.2,0.9,255.8,2093.9,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-06-30T13:19:16.620746,T001,1号主变,normal,0,93.0,20.1,14.2,21.1,2.8,240.7,2714.3,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-07-01T13:19:16.620746,T001,1号主变,normal,0,103.2,23.4,20.0,29.4,1.0,415.7,4562.1,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-07-02T13:19:16.620746,T001,1号主变,normal,0,102.3,16.0,28.8,35.7,1.0,482.5,2769.3,40,20,28.8,34.1,10,900.5,0.027,16500.7
2025-07-03T13:19:16.620746,T001,1号主变,normal,0,77.0,28.2,18.8,42.6,0.9,484.5,3524.9,40,20,28.8,34.1,10,900.5,0.027,16500.7
2025-07-04T13:19:16.620746,T001,1号主变,normal,0,53.6,40.3,8.8,43.0,1.2,418.4,3660.6,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-07-05T13:19:16.620746,T001,1号主变,normal,0,97.2,31.4,20.9,29.6,1.3,310.2,2655.4,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-07-06T13:19:16.620746,T001,1号主变,normal,0,70.6,19.9,10.1,26.1,2.9,400.2,2473.7,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-07-07T13:19:16.620746,T001,1号主变,normal,0,96.2,37.0,11.4,26.5,1.2,479.4,3921.9,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-07-08T13:19:16.620746,T001,1号主变,normal,0,85.7,17.1,21.4,14.0,0.1,350.2,3159.0,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-07-09T13:19:16.620746,T001,1号主变,normal,0,118.1,13.6,14.4,16.2,2.6,217.1,5057.2,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-07-10T13:19:16.620746,T001,1号主变,normal,0,54.0,18.6,8.5,36.1,0.1,400.5,3401.2,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-07-11T13:19:16.620746,T001,1号主变,normal,0,78.7,26.1,14.5,15.1,2.6,218.1,3134.9,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-07-12T13:19:16.620746,T001,1号主变,normal,0,99.6,13.3,7.4,28.1,0.7,352.6,4154.6,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-07-13T13:19:16.620746,T001,1号主变,normal,0,48.7,23.2,27.3,37.1,2.2,303.8,3742.0,40,20,28.8,34.1,10,900.5,0.027,16500.7
2025-07-14T13:19:16.620746,T001,1号主变,normal,0,60.3,34.0,11.4,31.0,0.0,378.7,3534.1,40,20,28.8,34.1,10,900.5,0.027,16500.7
