序号,设备名称,设备编码,设备ID,站点名称,站点编码,站点ID,PMS设备编码,温度,主变设备巡视照片路径,主变设备巡视红外照片路径,油温,油位,绕组温度,巡视结果时间,数据来源
id,device_name,device_code,device_id,station_name,station_code,station_id,pms_device_code,temperature,photo_path,infrared_photo_path,oil_temperature,oil_level,winding_temperature,inspect_time,data_source
26289,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 37.2,Min 17.6,R03:Max 29.2,Min 17.6,R02:Max 37.4,Min 17.7,℃",,D:/upload/getImage.jpg,,6.423,,2025-10-20 12:00:00,local
26290,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 34.4,Min 13.0,R03:Max 26.4,Min 13.0,R02:Max 34.6,Min 13.1,℃",,D:/upload/getImage.jpg,,5.775,,2025-10-20 12:30:00,local
26291,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 27.9,Min 17.1,R03:Max 19.9,Min 17.1,R02:Max 28.1,Min 17.2,℃",,D:/upload/getImage.jpg,,6.386,,2025-10-20 13:00:00,local
26292,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 33.5,Min 11.6,R03:Max 25.5,Min 11.6,R02:Max 33.7,Min 11.7,℃",,D:/upload/getImage.jpg,,6.253,,2025-10-20 13:30:00,local
26293,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 30.0,Min 17.0,R03:Max 22.0,Min 17.0,R02:Max 30.2,Min 17.1,℃",,D:/upload/getImage.jpg,,5.622,,2025-10-20 14:00:00,local
26294,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 38.5,Min 15.8,R03:Max 30.5,Min 15.8,R02:Max 38.7,Min 15.9,℃",,D:/upload/getImage.jpg,,6.164,,2025-10-20 14:30:00,local
26295,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 39.3,Min 18.2,R03:Max 31.3,Min 18.2,R02:Max 39.5,Min 18.3,℃",,D:/upload/getImage.jpg,,6.217,,2025-10-20 15:00:00,local
26296,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 20.7,Min 12.1,R03:Max 12.7,Min 12.1,R02:Max 20.9,Min 12.2,℃",,D:/upload/getImage.jpg,,6.12,,2025-10-20 15:30:00,local
26297,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 30.6,Min 13.9,R03:Max 22.6,Min 13.9,R02:Max 30.8,Min 14.0,℃",,D:/upload/getImage.jpg,,6.256,,2025-10-20 16:00:00,local
